NAV Date,NAV (Rs)
08-07-2021,28.659
07-07-2021,28.887
06-07-2021,28.677
05-07-2021,28.714
02-07-2021,28.427
01-07-2021,28.234
30-06-2021,28.17
29-06-2021,28.099
28-06-2021,28.124
25-06-2021,28.088
24-06-2021,27.991
23-06-2021,27.972
22-06-2021,27.94
21-06-2021,27.826
18-06-2021,27.705
17-06-2021,27.795
16-06-2021,27.942
15-06-2021,28.066
14-06-2021,27.884
11-06-2021,27.859
10-06-2021,27.759
09-06-2021,27.494
08-06-2021,27.673
07-06-2021,27.62
04-06-2021,27.363
03-06-2021,27.34
02-06-2021,27.184
01-06-2021,27.006
31-05-2021,27.12
28-05-2021,26.82
27-05-2021,26.706
26-05-2021,26.633
25-05-2021,26.4
24-05-2021,26.342
21-05-2021,26.149
20-05-2021,25.859
19-05-2021,25.846
18-05-2021,25.896
17-05-2021,25.567
14-05-2021,25.155
12-05-2021,25.279
11-05-2021,25.363
10-05-2021,25.313
07-05-2021,25.053
06-05-2021,24.973
05-05-2021,24.832
04-05-2021,24.602
03-05-2021,24.773
30-04-2021,24.648
29-04-2021,24.859
28-04-2021,24.797
27-04-2021,24.529
26-04-2021,24.203
23-04-2021,23.965
22-04-2021,23.984
20-04-2021,23.817
19-04-2021,23.742
16-04-2021,24.081
15-04-2021,23.94
13-04-2021,23.876
12-04-2021,23.494
09-04-2021,24.497
08-04-2021,24.529
07-04-2021,24.39
06-04-2021,24.18
05-04-2021,24.1
01-04-2021,24.446
31-03-2021,24.122
30-03-2021,24.2
26-03-2021,23.73
25-03-2021,23.478
24-03-2021,23.718
23-03-2021,24.076
22-03-2021,23.876
19-03-2021,23.809
18-03-2021,23.666
17-03-2021,23.969
16-03-2021,24.316
15-03-2021,24.309
12-03-2021,24.469
10-03-2021,24.524
09-03-2021,24.43
08-03-2021,24.442
05-03-2021,24.408
04-03-2021,24.78
03-03-2021,24.873
02-03-2021,24.539
01-03-2021,24.31
26-02-2021,23.896
25-02-2021,24.437
24-02-2021,24.226
23-02-2021,23.875
22-02-2021,23.702
19-02-2021,24.057
18-02-2021,24.343
17-02-2021,24.394
16-02-2021,24.459
15-02-2021,24.48
12-02-2021,24.317
11-02-2021,24.256
10-02-2021,24.051
09-02-2021,24.065
08-02-2021,24.066
05-02-2021,23.685
04-02-2021,23.559
03-02-2021,23.298
02-02-2021,23.091
01-02-2021,22.603
29-01-2021,21.849
28-01-2021,22.076
27-01-2021,22.196
25-01-2021,22.441
22-01-2021,22.586
21-01-2021,22.811
20-01-2021,22.879
19-01-2021,22.756
18-01-2021,22.441
15-01-2021,22.667
14-01-2021,22.844
13-01-2021,22.837
12-01-2021,22.766
11-01-2021,22.66
08-01-2021,22.572
07-01-2021,22.363
06-01-2021,22.312
05-01-2021,22.398
04-01-2021,22.238
01-01-2021,21.951
31-12-2020,21.859
30-12-2020,21.786
29-12-2020,21.721
28-12-2020,21.638
24-12-2020,21.397
23-12-2020,21.256
22-12-2020,20.934
21-12-2020,20.804
18-12-2020,21.542
17-12-2020,21.513
16-12-2020,21.51
15-12-2020,21.386
14-12-2020,21.398
11-12-2020,21.259
10-12-2020,21.146
09-12-2020,21.239
08-12-2020,21.099
07-12-2020,21.116
04-12-2020,20.924
03-12-2020,20.801
02-12-2020,20.756
01-12-2020,20.748
27-11-2020,20.533
26-11-2020,20.313
25-11-2020,20.176
24-11-2020,20.439
23-11-2020,20.274
20-11-2020,20.178
19-11-2020,20.069
18-11-2020,20.173
17-11-2020,20.054
13-11-2020,19.739
12-11-2020,19.682
11-11-2020,19.627
10-11-2020,19.529
09-11-2020,19.281
06-11-2020,19.056
05-11-2020,18.868
04-11-2020,18.588
03-11-2020,18.487
02-11-2020,18.324
30-10-2020,18.363
29-10-2020,18.342
28-10-2020,18.449
27-10-2020,18.624
26-10-2020,18.577
23-10-2020,18.831
22-10-2020,18.784
21-10-2020,18.735
20-10-2020,18.639
19-10-2020,18.628
16-10-2020,18.501
15-10-2020,18.328
14-10-2020,18.665
13-10-2020,18.578
12-10-2020,18.58
09-10-2020,18.593
08-10-2020,18.522
07-10-2020,18.503
06-10-2020,18.501
05-10-2020,18.36
01-10-2020,18.331
30-09-2020,18.14
29-09-2020,18.106
28-09-2020,18.143
25-09-2020,17.8
24-09-2020,17.391
23-09-2020,17.807
22-09-2020,17.817
21-09-2020,18.081
18-09-2020,18.547
17-09-2020,18.626
16-09-2020,18.702
15-09-2020,18.589
14-09-2020,18.366
11-09-2020,18.121
10-09-2020,18.103
09-09-2020,17.906
08-09-2020,18.033
07-09-2020,18.121
04-09-2020,18.163
03-09-2020,18.383
02-09-2020,18.374
01-09-2020,18.263
31-08-2020,18.238
28-08-2020,18.747
27-08-2020,18.675
26-08-2020,18.636
25-08-2020,18.514
24-08-2020,18.479
21-08-2020,18.298
20-08-2020,18.141
19-08-2020,18.167
18-08-2020,18.063
17-08-2020,17.889
14-08-2020,17.775
13-08-2020,17.928
12-08-2020,17.848
11-08-2020,17.789
10-08-2020,17.694
07-08-2020,17.513
06-08-2020,17.494
05-08-2020,17.331
04-08-2020,17.358
03-08-2020,17.083
31-07-2020,17.163
30-07-2020,17.191
29-07-2020,17.267
28-07-2020,17.318
27-07-2020,17.216
24-07-2020,17.379
23-07-2020,17.385
22-07-2020,17.267
21-07-2020,17.271
20-07-2020,17.131
17-07-2020,16.982
16-07-2020,16.79
15-07-2020,16.722
14-07-2020,16.694
13-07-2020,16.93
10-07-2020,16.957
09-07-2020,17.021
08-07-2020,16.891
07-07-2020,16.943
06-07-2020,16.899
03-07-2020,16.722
02-07-2020,16.647
01-07-2020,16.488
30-06-2020,16.298
29-06-2020,16.343
26-06-2020,16.417
25-06-2020,16.26
24-06-2020,16.273
23-06-2020,16.447
22-06-2020,16.208
19-06-2020,16.096
18-06-2020,15.891
17-06-2020,15.593
16-06-2020,15.593
15-06-2020,15.455
12-06-2020,15.616
11-06-2020,15.583
10-06-2020,15.837
09-06-2020,15.742
08-06-2020,15.946
05-06-2020,15.876
04-06-2020,15.595
03-06-2020,15.611
02-06-2020,15.504
01-06-2020,15.312
29-05-2020,14.922
28-05-2020,14.738
27-05-2020,14.515
26-05-2020,14.221
22-05-2020,14.217
21-05-2020,14.34
20-05-2020,14.211
19-05-2020,13.952
18-05-2020,13.987
15-05-2020,14.425
14-05-2020,14.428
13-05-2020,14.705
12-05-2020,14.393
11-05-2020,14.446
08-05-2020,14.453
07-05-2020,14.523
06-05-2020,14.569
05-05-2020,14.528
04-05-2020,14.584
30-04-2020,15.199
29-04-2020,14.945
28-04-2020,14.708
27-04-2020,14.528
24-04-2020,14.368
23-04-2020,14.601
22-04-2020,14.463
21-04-2020,14.279
20-04-2020,14.664
17-04-2020,14.583
16-04-2020,14.208
15-04-2020,14.018
13-04-2020,13.997
09-04-2020,14.139
08-04-2020,13.668
07-04-2020,13.627
03-04-2020,12.967
01-04-2020,13.151
31-03-2020,13.448
30-03-2020,12.988
27-03-2020,13.502
26-03-2020,13.342
25-03-2020,12.963
24-03-2020,12.411
23-03-2020,12.285
20-03-2020,13.93
19-03-2020,13.451
18-03-2020,13.877
17-03-2020,14.609
16-03-2020,14.95
13-03-2020,15.903
12-03-2020,15.464
11-03-2020,16.649
09-03-2020,16.689
06-03-2020,17.246
05-03-2020,17.559
04-03-2020,17.563
03-03-2020,17.743
02-03-2020,17.52
28-02-2020,17.569
27-02-2020,18.108
26-02-2020,18.22
25-02-2020,18.395
24-02-2020,18.402
20-02-2020,18.701
19-02-2020,18.662
18-02-2020,18.485
17-02-2020,18.532
14-02-2020,18.615
13-02-2020,18.646
12-02-2020,18.71
11-02-2020,18.662
10-02-2020,18.611
07-02-2020,18.694
06-02-2020,18.699
05-02-2020,18.625
04-02-2020,18.453
03-02-2020,18.143
31-01-2020,18.539
30-01-2020,18.597
29-01-2020,18.709
28-01-2020,18.668
27-01-2020,18.707
24-01-2020,18.778
23-01-2020,18.738
22-01-2020,18.634
21-01-2020,18.699
20-01-2020,18.739
17-01-2020,18.869
16-01-2020,18.806
15-01-2020,18.726
14-01-2020,18.684
13-01-2020,18.643
10-01-2020,18.511
09-01-2020,18.479
08-01-2020,18.187
07-01-2020,18.212
06-01-2020,18.129
03-01-2020,18.434
02-01-2020,18.463
01-01-2020,18.293
31-12-2019,18.252
30-12-2019,18.287
27-12-2019,18.265
26-12-2019,18.128
24-12-2019,18.15
23-12-2019,18.175
20-12-2019,18.158
19-12-2019,18.124
18-12-2019,18.135
17-12-2019,18.115
16-12-2019,17.979
13-12-2019,18.038
12-12-2019,17.928
11-12-2019,17.818
10-12-2019,17.816
09-12-2019,17.908
06-12-2019,17.901
05-12-2019,18.045
04-12-2019,18.079
03-12-2019,18.04
02-12-2019,18.113
29-11-2019,18.143
28-11-2019,18.227
27-11-2019,18.145
26-11-2019,18.088
25-11-2019,18.161
22-11-2019,17.971
21-11-2019,18.001
20-11-2019,18.057
19-11-2019,17.997
18-11-2019,17.974
15-11-2019,17.994
14-11-2019,17.945
13-11-2019,17.908
11-11-2019,18.011
08-11-2019,18.005
07-11-2019,18.097
06-11-2019,18.065
05-11-2019,18.063
04-11-2019,18.149
01-11-2019,18.135
31-10-2019,18.107
30-10-2019,17.987
29-10-2019,17.932
25-10-2019,17.682
24-10-2019,17.686
23-10-2019,17.735
22-10-2019,17.732
18-10-2019,17.782
17-10-2019,17.619
16-10-2019,17.486
15-10-2019,17.427
14-10-2019,17.409
11-10-2019,17.389
10-10-2019,17.316
09-10-2019,17.403
07-10-2019,17.202
04-10-2019,17.331
03-10-2019,17.504
01-10-2019,17.568
30-09-2019,17.75
27-09-2019,17.811
26-09-2019,17.844
25-09-2019,17.706
24-09-2019,17.921
23-09-2019,17.922
20-09-2019,17.533
19-09-2019,16.77
18-09-2019,16.939
17-09-2019,16.879
16-09-2019,17.101
13-09-2019,17.159
12-09-2019,17.055
11-09-2019,17.082
09-09-2019,16.963
06-09-2019,16.917
05-09-2019,16.804
04-09-2019,16.782
03-09-2019,16.701
30-08-2019,16.915
29-08-2019,16.881
28-08-2019,16.971
27-08-2019,17.01
26-08-2019,16.889
23-08-2019,16.61
22-08-2019,16.473
21-08-2019,16.733
20-08-2019,16.893
19-08-2019,16.966
16-08-2019,16.91
14-08-2019,16.912
13-08-2019,16.803
09-08-2019,16.987
08-08-2019,16.915
07-08-2019,16.701
06-08-2019,16.744
05-08-2019,16.538
02-08-2019,16.78
01-08-2019,16.826
31-07-2019,17.02
30-07-2019,16.938
29-07-2019,17.11
26-07-2019,17.223
25-07-2019,17.261
24-07-2019,17.297
23-07-2019,17.417
22-07-2019,17.452
19-07-2019,17.566
18-07-2019,17.751
17-07-2019,17.848
16-07-2019,17.838
15-07-2019,17.783
12-07-2019,17.809
11-07-2019,17.768
10-07-2019,17.678
09-07-2019,17.766
08-07-2019,17.78
05-07-2019,18.075
04-07-2019,18.237
03-07-2019,18.206
02-07-2019,18.182
01-07-2019,18.187
28-06-2019,18.088
27-06-2019,18.111
26-06-2019,18.091
25-06-2019,18.019
24-06-2019,17.89
21-06-2019,17.917
20-06-2019,17.96
19-06-2019,17.805
18-06-2019,17.835
17-06-2019,17.799
14-06-2019,17.961
13-06-2019,18.029
12-06-2019,18.068
11-06-2019,18.154
10-06-2019,18.076
07-06-2019,18.072
06-06-2019,18.025
04-06-2019,18.277
03-06-2019,18.34
31-05-2019,18.262
30-05-2019,18.262
29-05-2019,18.188
28-05-2019,18.3
27-05-2019,18.246
